iteration,best_cost,incumbent_cost
648,34679502,34682808
649,34679502,34682808
650,34679502,34682808
651,34679502,34682808
652,34067823,34067823
653,34067823,34067823
654,34067823,34067823
655,34067823,34067823
656,34067823,34067823
657,34067823,34067823
658,34050737,34050737
659,34050737,34050737
660,34050737,34050737
661,34050737,34050737
662,34035235,34035235
663,34035235,34035235
664,34035235,34035235
665,34035235,34035235
666,34035235,34035235
667,34035235,34035235
668,34035235,34071055
669,34035235,34068743
670,33346421,33346421
671,33336584,33336584
672,33336584,33336584
673,32746902,32746902
674,32746902,32746902
675,32746902,32746902
676,32746902,32746902
677,32731017,32731017
678,32731017,32791084
679,32731017,32791084
680,32731017,32791084
681,32731017,32791084
682,32357437,32357437
683,32351080,32351080
684,32351080,32351080
685,32351080,32351080
686,32346895,32346895
687,32346895,32346895
688,32346895,32346895
689,32346895,32346895
690,32276307,32276307
691,32276307,32276307
692,32272671,32272671
693,32272671,32272671
694,32248994,32248994
695,32248994,32248994
696,32174285,32174285
697,31472723,31472723
698,31472723,31472723
699,31472723,31472723
700,30862024,30862024
701,30862024,30939226
702,30862024,30939226
703,30862024,30939226
704,30862024,30939226
705,30862024,31040566
706,30663013,30663013
707,30663013,30663013
708,30663013,30663013
709,30615313,30615313
710,30615313,30649252
711,30615313,30649252
712,30615313,30649252
713,30343673,30343673
714,30343673,30370908
715,30343673,30360964
716,30343673,30360964
717,30343673,30364977
718,30343673,30364977
719,30343673,30364977
720,30343673,30364977
721,30343673,30364977
722,30343673,30364977
723,30012772,30012772
724,30012772,30012772
725,30012772,30072684
726,29960976,29960976
727,29959280,29959280
728,29959280,29959280
729,29959280,29959280
730,29959280,29959280
731,29959280,29961559
732,29407500,29407500
733,29407500,29407500
734,29407500,29407500
735,29407500,29407500
736,29407500,29407500
737,29407500,29407500
738,29123363,29123363
739,29123363,29123363
740,29113421,29113421
741,29113421,29113421
742,29101358,29101358
743,29039836,29039836
744,29039836,29039836
745,29039836,29039836
746,29039836,29039836
747,29039836,29039836
748,29039836,29096504
749,29039836,29096504
750,29039836,29096504
751,29039836,29051837
752,28801346,28801346
753,28801346,28801346
754,28796677,28796677
755,28796677,28796677
756,28796677,28796677
757,28222754,28222754
758,27666492,27666492
759,27666492,27666492
760,26947115,26947115
761,26947115,26947115
762,26341721,26341721
763,26341721,26341721
764,26341721,26406652
765,26341721,26442642
766,26341721,26421487
