iteration,operator_0,operator_1,operator_2,operator_3
677,-51861659,0,0,0
678,0,0,0,0
679,0,0,-51861659,0
680,0,0,-51861659,0
681,0,0,-51861659,0
682,0,-51861659,0,0
683,0,0,0,0
684,-51861659,0,0,0
685,0,-51861659,0,0
686,0,-51861659,0,0
687,0,-51861659,0,0
688,-25138,0,0,0
689,0,0,0,0
690,0,0,-51836521,0
691,0,50569,0,0
692,-494768,0,0,0
693,0,0,0,0
694,1,0,0,0
695,0,-51392323,0,0
696,0,0,-51392323,0
697,55630,0,0,0
698,0,-591242,0,0
699,0,518597,0,0
700,0,-51375308,0,0
701,-245559,0,0,0
702,-51129749,0,0,0
703,0,-51129749,0,0
704,-607822,0,0,0
705,-50521927,0,0,0
706,0,123187,0,0
707,0,-50645114,0,0
708,-50645114,0,0,0
709,0,0,0,-50645114
710,-50645114,0,0,0
711,0,-50645114,0,0
712,0,0,-50645114,0
713,0,0,-50645114,0
714,0,-50645114,0,0
715,-50645114,0,0,0
716,0,-50645114,0,0
717,0,-50645114,0,0
718,-30092,0,0,0
719,0,0,0,0
720,-50615022,0,0,0
721,0,0,0,0
722,0,0,-50615022,0
723,-23262,0,0,0
724,-50591760,0,0,0
725,0,0,0,0
726,0,0,0,0
727,0,0,528517,0
728,0,0,0,0
729,0,0,-51120277,0
730,0,0,0,0
731,0,0,0,-51120277
732,-51120277,0,0,0
733,0,0,-51120277,0
734,0,0,0,0
735,0,-51120277,0,0
736,0,0,0,0
737,0,0,0,0
738,0,0,-51120277,0
739,319607,0,0,0
740,33829,0,0,0
741,0,596068,0,0
742,0,0,-52069781,0
743,0,0,0,-52069781
744,-57755,0,0,0
745,-77897,0,0,0
746,0,-375066,0,0
747,102180,0,0,0
748,0,0,112630,0
749,0,0,0,0
750,0,0,0,-51773873
751,0,0,0,-51773873
752,0,-51773873,0,0
753,0,143667,0,0
754,-51917540,0,0,0
755,0,0,0,0
756,0,0,0,0
757,-51917540,0,0,0
758,0,-51917540,0,0
759,47103,0,0,0
760,0,-806186,0,0
761,0,0,155247,0
762,-72348,0,0,0
763,-51241356,0,0,0
764,-51241356,0,0,0
765,-51241356,0,0,0
766,-125668,0,0,0
767,-13956,0,0,0
768,0,-51101732,0,0
769,0,0,0,0
770,-51101732,0,0,0
771,0,0,0,0
772,0,0,0,0
773,0,-51101732,0,0
774,0,0,0,0
775,0,0,-51101732,0
776,-51101732,0,0,0
777,-51101732,0,0,0
778,0,-51101732,0,0
779,28766,0,0,0
780,0,-51130498,0,0
781,0,-51130498,0,0
782,0,0,-51130498,0
783,-51130498,0,0,0
